col_1,col_2,col_3,col_4,col_5,col_6,date
0,0.10419845133785288,0.7464820516107376,3,12,0.7464820516107376,2021-01-01
1,0.686686098610564,1.0787172795427118,2,12,1.0787172795427118,2021-01-01
2,0.7573723154440382,0.9211992487225554,5,12,0.9211992487225554,2021-01-01
3,0.6211266799856652,0.9416971960900224,2,12,0.9416971960900224,2021-02-01
4,0.7050790137104979,1.544587800544547,5,12,1.544587800544547,2021-01-01
5,0.7239789704758137,1.2270343869958302,1,12,1.2270343869958302,2021-02-01
6,0.2802029437979232,0.8358817104577686,5,12,0.8358817104577686,2021-02-01
7,0.8400437275729993,1.811324017371355,1,12,1.811324017371355,2021-01-01
8,0.2723923112038976,0.718643041706605,1,12,0.718643041706605,2021-03-01
9,0.946588881740788,1.0238881225495173,5,12,1.0238881225495173,2021-01-01
10,0.34182975349006905,1.2512140347999594,4,12,1.2512140347999594,2021-01-01
11,0.8258518778241674,1.037556707640976,3,12,1.037556707640976,2021-02-01
12,0.880216795990768,1.6550725872919951,3,12,1.6550725872919951,2021-03-01
13,0.7052716625290876,1.414746606856792,1,12,1.414746606856792,2021-03-01
14,0.09477944703592012,0.5038868618029171,2,12,0.5038868618029171,2021-02-01
15,0.9600216860307865,1.5770698873834537,2,12,1.5770698873834537,2021-02-01
16,0.2814054009120929,0.9327757689841842,4,12,0.9327757689841842,2021-01-01
17,0.15599314711204793,0.712830606509295,1,12,0.712830606509295,2021-01-01
18,0.0029065790973229477,0.6721774955080918,1,12,0.6721774955080918,2021-02-01
19,0.7713474262941232,1.1856425216073219,4,12,1.1856425216073219,2021-01-01
20,0.13628908047233956,0.942786906975994,1,12,0.942786906975994,2021-02-01
21,0.14025451416944323,0.3221418430650842,2,12,0.3221418430650842,2021-03-01
22,0.7521216190351713,0.9119945698465125,2,12,0.9119945698465125,2021-02-01
23,0.543257795044494,0.9518518076204038,3,12,0.9518518076204038,2021-02-01
24,0.8725573061631967,1.4227931991752751,1,12,1.4227931991752751,2021-02-01
25,0.6186524370335063,1.510591831217849,5,12,1.510591831217849,2021-03-01
26,0.6078314509012986,1.0661943134522354,4,12,1.0661943134522354,2021-03-01
27,0.6515178876826312,0.7967577657276864,2,12,0.7967577657276864,2021-01-01
28,0.7081307992913184,1.2305449133894548,3,12,1.2305449133894548,2021-03-01
29,0.49617927775773285,1.2769369337343832,3,12,1.2769369337343832,2021-03-01
30,0.06768150510502502,0.546932475089045,5,12,0.546932475089045,2021-03-01
31,0.1773156378328089,0.2059089146731684,1,12,0.2059089146731684,2021-02-01
32,0.5407765097953273,0.6820949743910858,2,12,0.6820949743910858,2021-01-01
33,0.44335770521140916,0.547714502696678,2,12,0.547714502696678,2021-01-01
34,0.912690011320026,1.0494863465501303,3,12,1.0494863465501303,2021-01-01
35,0.22173276476110726,0.6409302838648852,2,12,0.6409302838648852,2021-03-01
36,0.12955530226463086,1.0595140110726402,4,12,1.0595140110726402,2021-01-01
37,0.9276768785518614,1.2073097471436396,4,12,1.2073097471436396,2021-03-01
38,0.3739262825221916,1.307316273594609,4,12,1.307316273594609,2021-02-01
39,0.3688752560930326,1.0315208587077036,3,12,1.0315208587077036,2021-03-01
40,0.4804764831038788,1.1870033218722396,5,12,1.1870033218722396,2021-02-01
41,0.4157286036029595,0.8892529309287668,1,12,0.8892529309287668,2021-02-01
42,0.7450796339237339,1.2452050477022496,5,12,1.2452050477022496,2021-01-01
43,0.2631814184236383,0.7955706867084091,5,12,0.7955706867084091,2021-01-01
44,0.28443769524121165,1.1284922452280792,5,12,1.1284922452280792,2021-03-01
45,0.9220054900925884,1.743197543153959,5,12,1.743197543153959,2021-02-01
46,0.5704354493848791,1.0566443869972275,4,12,1.0566443869972275,2021-03-01
47,0.9921198765487608,1.447734284028638,1,12,1.447734284028638,2021-02-01
48,0.9111095384676534,1.492488579038541,1,12,1.492488579038541,2021-01-01
49,0.2681537773665609,0.2700975722287996,2,12,0.2700975722287996,2021-01-01
50,0.9912934552847107,1.4983716704779524,5,12,1.4983716704779524,2021-01-01
51,0.8529824190788152,1.8377221286520555,3,12,1.8377221286520555,2021-02-01
52,0.8020699584821196,1.0924211543065079,5,12,1.0924211543065079,2021-02-01
53,0.31395325330573787,0.6474998916685166,2,12,0.6474998916685166,2021-02-01
54,0.9144256242726974,0.9845249055332204,1,12,0.9845249055332204,2021-01-01
55,0.9840934785165094,1.3130846016652868,4,12,1.3130846016652868,2021-01-01
56,0.23769637274064137,0.3271771989555843,1,12,0.3271771989555843,2021-03-01
57,0.8419407686228034,1.1505711469474447,3,12,1.1505711469474447,2021-03-01
58,0.5720402428088045,0.7365392349827045,1,12,0.7365392349827045,2021-02-01
59,0.5472051226854706,0.6211091697504911,5,12,0.6211091697504911,2021-02-01
60,0.9711280423952033,1.213775254337238,2,12,1.213775254337238,2021-03-01
61,0.7425558132671103,1.4454022570645442,3,12,1.4454022570645442,2021-03-01
62,0.11126737247612628,0.38915711659202745,5,12,0.38915711659202745,2021-03-01
63,0.2906247178926684,0.4817664730516579,2,12,0.4817664730516579,2021-02-01
64,0.8310360682918908,1.5993543079865207,2,12,1.5993543079865207,2021-02-01
65,0.4517890355258499,0.8256744799127438,5,12,0.8256744799127438,2021-03-01
66,0.8825758595611566,1.158463856395806,5,12,1.158463856395806,2021-03-01
67,0.06044824983185315,0.17933123846849364,1,12,0.17933123846849364,2021-03-01
68,0.6881979609708923,0.8603649254837552,3,12,0.8603649254837552,2021-01-01
69,0.4870398371883793,1.1301226868217555,5,12,1.1301226868217555,2021-02-01
70,0.3355893270802499,0.8878214045844841,2,12,0.8878214045844841,2021-03-01
71,0.5908026276349096,0.8073430135972367,2,12,0.8073430135972367,2021-02-01
72,0.7738175579468927,1.7053507148278721,5,12,1.7053507148278721,2021-03-01
73,0.48623717493907315,0.9538623554650106,3,12,0.9538623554650106,2021-03-01
74,0.6494563250697244,1.542788447242071,4,12,1.542788447242071,2021-03-01
75,0.20872490837803148,1.1464964680671619,1,12,1.1464964680671619,2021-02-01
76,0.524738683563725,0.6475947663717484,3,12,0.6475947663717484,2021-02-01
77,0.8659485808804049,1.2021846344468259,4,12,1.2021846344468259,2021-03-01
78,0.45565264820353046,0.6443138969538417,4,12,0.6443138969538417,2021-02-01
79,0.40605969198223135,0.9381248723027299,2,12,0.9381248723027299,2021-02-01
80,0.2596528532015233,0.43029602288488245,5,12,0.43029602288488245,2021-03-01
81,0.47445081811238,0.6755724398807033,3,12,0.6755724398807033,2021-02-01
82,0.17613111279561033,0.5902438165296904,2,12,0.5902438165296904,2021-03-01
83,0.09281039219016018,1.039724614997192,2,12,1.039724614997192,2021-03-01
84,0.12136758312655105,0.22165024690704538,5,12,0.22165024690704538,2021-01-01
85,0.17213876544641016,0.5964270983358738,2,12,0.5964270983358738,2021-02-01
86,0.4696145694876619,1.1718083827249979,3,12,1.1718083827249979,2021-02-01
87,0.6961599469187422,1.690942656825535,4,12,1.690942656825535,2021-02-01
88,0.019763899403004603,0.3905091409412471,3,12,0.3905091409412471,2021-03-01
89,0.616347459966633,0.7281194783666662,3,12,0.7281194783666662,2021-01-01
90,0.7569284319137624,0.780095248140537,2,12,0.780095248140537,2021-01-01
91,0.30539155672184104,0.5788502725254372,2,12,0.5788502725254372,2021-01-01
92,0.16301717635246094,0.554264769333173,1,12,0.554264769333173,2021-03-01
93,0.08248734221852116,0.9131766592348317,1,12,0.9131766592348317,2021-03-01
94,0.7782848398674173,1.2752045825115048,2,12,1.2752045825115048,2021-01-01
95,0.39778080898460866,1.1285189460885716,5,12,1.1285189460885716,2021-01-01
96,0.6856776211716498,1.6572554518255356,3,12,1.6572554518255356,2021-02-01
97,0.6666871983874328,1.3805003111071974,1,12,1.3805003111071974,2021-01-01
98,0.05155987963471387,1.017135727370722,5,12,1.017135727370722,2021-02-01
99,0.3724290309153512,0.7789642236214156,2,12,0.7789642236214156,2021-02-01
100,0.2942457972355096,0.8821268916698067,1,12,0.8821268916698067,2021-01-01
101,0.043878896683517965,0.6084558536740409,2,12,0.6084558536740409,2021-01-01
102,0.22468697092291856,0.5820923420789319,5,12,0.5820923420789319,2021-01-01
103,0.8390796751399427,1.0384381042969162,4,12,1.0384381042969162,2021-01-01
104,0.6693982036063937,1.469150739285368,2,12,1.469150739285368,2021-03-01
105,0.3117067857182275,1.2754105714412702,1,12,1.2754105714412702,2021-01-01
106,0.4968049004947499,0.7680710997215098,2,12,0.7680710997215098,2021-01-01
107,0.013705098019553663,0.6633723867938798,3,12,0.6633723867938798,2021-02-01
108,0.3863472163489423,0.8838015976197127,3,12,0.8838015976197127,2021-01-01
109,0.2689953485290294,0.7150814077538348,5,12,0.7150814077538348,2021-01-01
110,0.08307243718247148,0.5024937416490028,1,12,0.5024937416490028,2021-03-01
111,0.9231937302974382,1.281414316418746,2,12,1.281414316418746,2021-02-01
112,0.2521899166592909,1.0189055467729884,5,12,1.0189055467729884,2021-02-01
113,0.9658681540044254,1.303091705706775,3,12,1.303091705706775,2021-01-01
114,0.26259056287265514,0.9553960740335182,3,12,0.9553960740335182,2021-02-01
115,0.6743688232352056,1.268025731503004,1,12,1.268025731503004,2021-01-01
116,0.4224486445310798,0.5869221616572493,3,12,0.5869221616572493,2021-02-01
